,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Unnamed: 34_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 46_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,,
54,50,1999,1999-11-28,12,12,37.036,BUF,,NWE,W 17-7,*,9,16,56.25,207,2,0,140.6,0,0,12.94,15.44,5,-7,-1.40,0,,,,,,,0,0,0.0,0,0,0,0,,1,0,0,1,-5,0,,Doug Flutie,FlutDo00
55,51,1999,1999-12-12,13,14,37.050,BUF,,NYG,L 17-19,*,15,32,46.88,184,1,1,62.5,3,23,5.75,4.97,6,25,4.17,0,,,,,,,0,0,0.0,,,,,,1,1,0,0,0,0,,Doug Flutie,FlutDo00
56,52,1999,1999-12-19,14,15,37.057,BUF,@,ARI,W 31-21,*,21,32,65.63,239,2,2,82.7,2,22,7.47,5.91,7,25,3.57,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
57,53,1999,1999-12-26,15,16,37.064,BUF,@,NWE,W 13-10,*,22,35,62.86,212,0,0,79.7,3,6,6.06,6.06,6,44,7.33,0,,,,,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,Doug Flutie,FlutDo00
58,54,1999,2000-01-02,16,17,,BUF,,IND,W 31-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Doug Flutie,FlutDo00
59,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Doug Flutie,FlutDo00
60,55,2000,2000-09-03,1,1,,BUF,,TEN,W 16-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Doug Flutie,FlutDo00
61,56,2000,2000-09-10,2,2,,BUF,,GNB,W 27-18,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Doug Flutie,FlutDo00
62,57,2000,2000-09-17,3,3,,BUF,@,NYJ,L 14-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Doug Flutie,FlutDo00
63,58,2000,2000-10-01,4,5,,BUF,,IND,L 16-18,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Doug Flutie,FlutDo00
