,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD,PD,,
58,53,1951,1951-11-11,7,7,31.108,RAM,,CRD,W 45-21,*,5,9,55.56,116,1,0,137.5,,,12.89,15.11,3,35,11.67,1,0,0,,0,1,6,,,,,Bob Waterfield,WateBo01
59,54,1951,1951-11-18,8,8,31.115,RAM,,NYY,W 48-21,*,5,11,45.45,74,0,1,30.1,,,6.73,2.64,1,13,13.00,1,0,0,,0,1,6,,,,,Bob Waterfield,WateBo01
60,55,1951,1951-11-25,9,9,31.122,RAM,@,WAS,L 21-31,*,16,30,53.33,236,2,2,73.8,,,7.87,6.20,,,,,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
61,56,1951,1951-12-02,10,10,31.129,RAM,@,CHI,W 42-17,*,5,7,71.43,187,1,0,153.3,,12,26.71,29.57,,,,,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
62,57,1951,1951-12-09,11,11,31.136,RAM,,DET,L 22-24,*,6,12,50.00,99,0,0,78.1,,,8.25,8.25,2,-5,-2.50,0,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
63,58,1951,1951-12-16,12,12,31.143,RAM,,GNB,W 42-14,*,10,18,55.56,204,5,2,95.6,,,11.33,11.89,,,,,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
64,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Int,Yds,TD,PD,Bob Waterfield,WateBo01
65,59,1952,1952-09-28,1,1,32.064,RAM,@,CLE,L 7-37,*,3,10,30.00,26,0,1,0.0,,8,2.60,-1.90,,,,,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
66,60,1952,1952-10-03,2,2,32.069,RAM,,DET,L 14-17,*,1,6,16.67,25,0,1,4.9,,,4.17,-3.33,,,,,1,5,5.00,0,0,0,,,,,Bob Waterfield,WateBo01
67,61,1952,1952-10-12,3,3,32.078,RAM,@,GNB,W 30-28,,7,13,53.85,111,0,0,82.5,,8,8.54,8.54,1,2,2.00,0,0,0,,0,0,0,,,,,Bob Waterfield,WateBo01
