,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Unnamed: 36_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 54_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
49,48,2014,2014-12-28,16,17,26.154,MIA,,NYJ,L 24-37,*,23,39,58.97,259,1,0,87.4,7,51,6.64,7.15,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,70,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Ryan Tannehill,TannRy00
51,49,2015,2015-09-13,1,1,27.048,MIA,@,WAS,W 17-10,*,22,34,64.71,226,1,0,93.5,3,44,6.65,7.24,3,7,2.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,56,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
52,50,2015,2015-09-20,2,2,27.055,MIA,@,JAX,L 20-23,*,30,44,68.18,359,2,0,108.0,2,15,8.16,9.07,3,17,5.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,68,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
53,51,2015,2015-09-27,3,3,27.062,MIA,,BUF,L 14-41,*,26,49,53.06,297,2,3,59.7,2,8,6.06,4.12,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,76,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
54,52,2015,2015-10-04,4,4,27.069,MIA,,NYJ,L 14-27,*,19,44,43.18,198,2,2,53.0,3,31,4.50,3.36,1,4,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,64,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
55,53,2015,2015-10-18,5,6,27.083,MIA,@,TEN,W 38-10,*,22,29,75.86,266,2,2,97.8,2,12,9.17,7.45,2,14,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
56,54,2015,2015-10-25,6,7,27.090,MIA,,HOU,W 44-26,*,18,19,94.74,282,4,0,158.3,4,41,14.84,19.05,1,3,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,89%,0,0%,0,0%,,Ryan Tannehill,TannRy00
57,55,2015,2015-10-29,7,8,27.094,MIA,@,NWE,L 7-36,*,28,44,63.64,300,0,2,64.6,5,45,6.82,4.77,2,-1,-0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,0,-9,0,63,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
58,56,2015,2015-11-08,8,9,27.104,MIA,@,BUF,L 17-33,*,26,35,74.29,307,0,0,100.5,2,27,8.77,8.77,2,3,1.50,0,1,1,9,9.00,0,100.0%,9.00,,0,0,0.0,0,0,0,0,0,2,1,0,0,-6,0,69,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
