,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 42_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
152,142,1996,1996-10-27,8,9,35.016,SFO,@,HOU,W 10-9,*,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,0,0,,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
153,143,1996,1996-11-03,9,10,35.023,SFO,@,NOR,W 24-17,*,12,23,52.17,149,1,0,87.0,6,34,6.48,7.35,5,9,1.80,1,0,0,0,,0,0.0%,,1,1,8,0,,0,0,0,0,,Steve Young,YounSt00
154,144,1996,1996-11-10,10,11,35.030,SFO,,DAL,L 17-20,*,7,13,53.85,83,1,0,99.2,2,4,6.38,7.92,2,4,2.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,Steve Young,YounSt00
155,145,1996,1996-11-17,11,12,,SFO,,BAL,W 38-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Steve Young,YounSt00
156,146,1996,1996-11-24,12,13,35.044,SFO,@,WAS,W 19-16,*,33,41,80.49,295,0,0,96.6,4,20,7.20,7.20,4,25,6.25,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,,Steve Young,YounSt00
157,147,1996,1996-12-02,13,14,35.052,SFO,@,ATL,W 34-10,*,23,30,76.67,254,1,0,112.4,2,5,8.47,9.13,6,43,7.17,2,0,0,0,,0,0.0%,,,2,12,0,,0,0,0,0,,Steve Young,YounSt00
158,148,1996,1996-12-08,14,15,35.058,SFO,,CAR,L 24-30,*,27,41,65.85,393,3,2,101.0,5,18,9.59,8.85,5,63,12.60,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,Steve Young,YounSt00
159,149,1996,1996-12-15,15,16,35.065,SFO,@,PIT,W 25-15,*,24,36,66.67,253,3,0,114.7,3,21,7.03,8.69,6,22,3.67,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
160,150,1996,1996-12-23,16,17,35.073,SFO,,DET,W 24-14,*,11,14,78.57,96,2,0,134.8,0,0,6.86,9.71,3,26,8.67,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
161,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Steve Young,YounSt00
162,151,1997,1997-08-31,1,1,35.324,SFO,@,TAM,L 6-13,*,4,8,50.00,33,0,1,21.4,4,22,4.13,-1.50,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,Steve Young,YounSt00
