,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 40_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
58,55,1991,1991-11-17,11,12,26.100,ATL,,TAM,W 43-7,*,14,23,60.87,212,3,0,130.8,1,10,9.22,11.83,1,19,19.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
59,56,1991,1991-11-24,12,13,26.107,ATL,@,NOR,W 23-20,*,15,31,48.39,260,2,3,59.3,4,20,8.39,5.32,1,7,7.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
60,57,1991,1991-12-01,13,14,26.114,ATL,,GNB,W 35-31,,12,18,66.67,186,2,0,137.7,1,6,10.33,12.56,2,19,9.50,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
61,58,1991,1991-12-08,14,15,26.121,ATL,@,RAM,W 31-14,*,19,28,67.86,271,2,1,107.9,0,0,9.68,9.50,3,20,6.67,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
62,59,1991,1991-12-15,15,16,26.128,ATL,,SEA,W 26-13,*,14,27,51.85,160,2,0,94.7,2,20,5.93,7.41,4,24,6.00,0,,,,,,,0,0,1,,0,0,0,0,,Chris Miller,MillCh00
63,60,1991,1991-12-22,16,17,26.135,ATL,@,DAL,L 27-31,*,19,39,48.72,325,3,0,103.0,2,9,8.33,9.87,3,11,3.67,0,,,,,,,0,0,1,,0,0,0,0,,Chris Miller,MillCh00
64,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Chris Miller,MillCh00
65,61,1992,1992-09-06,1,1,27.028,ATL,,NYJ,W 20-17,*,21,29,72.41,196,2,0,113.6,1,7,6.76,8.14,7,0,0.00,0,,,,,,,0,0,1,,0,0,0,0,,Chris Miller,MillCh00
66,62,1992,1992-09-13,2,2,27.035,ATL,@,WAS,L 17-24,*,11,25,44.00,242,1,1,75.7,1,10,9.68,8.68,2,13,6.50,0,,,,,,,0,0,1,,0,0,0,0,,Chris Miller,MillCh00
67,63,1992,1992-09-20,3,3,27.042,ATL,,NOR,L 7-10,*,21,35,60.00,204,1,1,74.0,4,23,5.83,5.11,2,14,7.00,0,,,,,,,0,0,2,,0,1,0,0,,Chris Miller,MillCh00
68,64,1992,1992-09-27,4,4,27.049,ATL,@,CHI,L 31-41,*,30,48,62.50,351,4,1,103.7,3,27,7.31,8.04,1,4,4.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
69,65,1992,1992-10-04,5,5,27.056,ATL,,GNB,W 24-10,*,16,26,61.54,171,3,0,119.2,2,5,6.58,8.88,2,4,2.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
70,66,1992,1992-10-11,6,6,27.063,ATL,@,MIA,L 17-21,*,26,41,63.41,254,2,1,86.8,0,0,6.20,6.07,2,5,2.50,0,,,,,,,0,0,1,,0,0,-1,0,,Chris Miller,MillCh00
71,67,1992,1992-10-18,7,7,27.070,ATL,@,SFO,L 17-56,*,14,27,51.85,174,1,2,53.6,2,12,6.44,3.85,5,28,5.60,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
