,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,qb,qb_tag
27,26,1950,1950-10-22,6,6,23.307,DET,@,SFO,L 27-28,*,13,32,40.63,218,2,2,59.1,,48,6.81,5.25,1,0,0.00,0,,,,,,,0,0,Bobby Layne,LaynBo00
28,27,1950,1950-10-29,7,7,23.314,DET,@,RAM,L 24-65,*,5,10,50.00,27,0,0,56.2,,23,2.70,2.70,,,,,,,,,,,0,0,Bobby Layne,LaynBo00
29,28,1950,1950-11-05,8,8,23.321,DET,,CHI,L 21-35,*,23,45,51.11,374,1,1,77.5,,45,8.31,7.76,10,64,6.40,2,,,,,,,2,12,Bobby Layne,LaynBo00
30,29,1950,1950-11-19,9,10,23.335,DET,,GNB,W 24-21,*,10,24,41.67,188,2,3,57.6,,8,7.83,3.88,1,6,6.00,0,,,,,,,0,0,Bobby Layne,LaynBo00
31,30,1950,1950-11-23,10,11,23.339,DET,,NYY,W 49-14,*,11,18,61.11,171,2,1,106.5,,9,9.50,9.22,2,7,3.50,1,,,,,,,1,6,Bobby Layne,LaynBo00
32,31,1950,1950-12-03,11,12,23.349,DET,@,BCL,W 45-21,*,16,27,59.26,341,3,3,101.0,,17,12.63,9.85,1,11,11.00,0,,,,,,,0,0,Bobby Layne,LaynBo00
33,32,1950,1950-12-10,12,13,23.356,DET,@,CHI,L 3-6,*,16,44,36.36,166,0,1,38.6,,62,3.77,2.75,9,34,3.78,0,,,,,,,0,0,Bobby Layne,LaynBo00
34,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Bobby Layne,LaynBo00
35,33,1951,1951-09-30,1,1,24.285,DET,,WAS,W 35-17,*,20,26,76.92,310,2,0,141.5,,,11.92,13.46,10,47,4.70,1,,,,,,,1,6,Bobby Layne,LaynBo00
36,34,1951,1951-10-08,2,2,24.293,DET,,NYY,W 37-10,*,9,26,34.62,152,3,0,93.7,,,5.85,8.15,5,31,6.20,0,,,,,,,0,0,Bobby Layne,LaynBo00
37,35,1951,1951-10-14,3,3,24.299,DET,,RAM,L 21-27,*,5,19,26.32,63,1,4,18.9,,17,3.32,-5.11,4,10,2.50,0,,,,,,,0,0,Bobby Layne,LaynBo00
38,36,1951,1951-10-21,4,4,24.306,DET,,NYY,T 24-24,*,20,44,45.45,306,1,2,57.6,,,6.95,5.36,,,,,,,,,,,0,0,Bobby Layne,LaynBo00
39,37,1951,1951-10-28,5,5,24.313,DET,,CHI,L 23-28,*,15,31,48.39,299,3,3,75.3,,27,9.65,7.23,2,6,3.00,0,,,,,,,0,0,Bobby Layne,LaynBo00
40,38,1951,1951-11-04,6,6,24.320,DET,@,GNB,W 24-17,*,7,16,43.75,162,3,2,80.7,,11,10.13,8.25,8,21,2.63,0,,,,,,,0,0,Bobby Layne,LaynBo00
41,39,1951,1951-11-11,7,7,24.327,DET,@,CHI,W 41-28,*,16,30,53.33,259,4,1,108.2,,,8.63,9.80,3,39,13.00,0,,,,,,,0,0,Bobby Layne,LaynBo00
42,40,1951,1951-11-18,8,8,24.334,DET,@,PHI,W 28-10,*,10,24,41.67,144,3,3,61.8,,13,6.00,2.88,4,38,9.50,0,,,,,,,0,0,Bobby Layne,LaynBo00
43,41,1951,1951-11-22,9,9,24.338,DET,,GNB,W 52-35,*,20,36,55.56,296,4,1,108.1,,,8.22,9.19,3,10,3.33,0,,,,,,,0,0,Bobby Layne,LaynBo00
44,42,1951,1951-12-02,10,10,24.348,DET,,SFO,L 10-20,*,11,32,34.38,112,1,1,42.7,,22,3.50,2.72,6,20,3.33,0,,,,,,,0,0,Bobby Layne,LaynBo00
45,43,1951,1951-12-09,11,11,24.355,DET,@,RAM,W 24-22,*,6,15,40.00,69,0,2,15.0,,,4.60,-1.40,13,67,5.15,0,,,,,,,0,0,Bobby Layne,LaynBo00
46,44,1951,1951-12-16,12,12,24.362,DET,@,SFO,L 17-21,*,13,33,39.39,231,1,4,34.6,,22,7.00,2.15,3,1,0.33,0,,,,,,,0,0,Bobby Layne,LaynBo00
